P04637	TP53
Q14524	SCN5A
P35222	CTNNB1
P00451	F8
P00533	EGFR
Q5S007	LRRK2
P10275	AR
Q8WZ42	TTN
P38398	BRCA1
P35498	SCN1A
Q08379	GOLGA2
Q6A162	KRT40
Q96EB6	SIRT1
P51787	KCNQ1
P31749	AKT1
P05067	APP
P60484	PTEN
O60260	PARK2
Q12809	KCNH2
P21802	FGFR2
P01137	TGFB1
P68871	HBB
P35555	FBN1
P11362	FGFR1
P49768	PSEN1
P14373	TRIM27
P61981	YWHAG
P04439	HLA-A
P30456	HLA-A
P10316	HLA-A
P30460	HLA-B
Q95365	HLA-B
P18464	HLA-B
P30495	HLA-B
P10319	HLA-B
P30501	HLA-C
P04222	HLA-C
Q9TNN7	HLA-C
P10321	HLA-C
Q07000	HLA-C
Q95604	HLA-C
Q15172	PPP2R5A
Q00005	PPP2R2B
Q66LE6	PPP2R2D
P13760	HLA-DRB1
Q9TQE0	HLA-DRB1
Q30167	HLA-DRB1
Q29974	HLA-DRB1
Q13541	EIF4EBP1
P46098	HTR3A
A5X5Y0	HTR3E
Q13639	HTR4
Q5SQ80	ANKRD20A2
Q96IX9	ANKRD36BP1
Q9Y312	AAR2
O95477	ABCA1
Q9UBJ2	ABCD2
O14678	ABCD4
Q9UG63	ABCF2
P00519	ABL1
Q9P1F3	ABRACL
Q8N0Z2	ABRA
Q9UKU7	ACAD8
P28330	ACADL
P07108	DBI
P01889	HLA-B
P30462	HLA-B
P30464	HLA-B
P03989	HLA-B
P18463	HLA-B
P30479	HLA-B
P30483	HLA-B
P30485	HLA-B
P30487	HLA-B
P30491	HLA-B
Q29940	HLA-B
P30498	HLA-B
P30499	HLA-C
P30505	HLA-C
P30508	HLA-C
Q16537	PPP2R5E
Q13362	PPP2R5C
P30153	PPP2R1A
P01912	HLA-DRB1
Q30134	HLA-DRB1
Q95IE3	HLA-DRB1
P14060	HSD3B1
O60239	SH3BP5
P31937	HIBADH
P08908	HTR1A
P28221	HTR1D
P28566	HTR1E
Q70Z44	HTR3D
Q9BXI3	NT5C1A
Q9H0P0	NT5C3A
Q676U5	ATG16L1
P02763	ORM1
P04217	A1BG
Q9NQ94	A1CF
