P35213	Ywhab
P62260	Ywhae
P68511	Ywhah
P61983	Ywhag
P68255	Ywhaq
P63102	Ywhaz
P22282	Andpro
P22283	Crp2
Q80W83	Ppp2r5b
Q4QQT4	Ppp2r1b
P36876	Ppp2r2a
P36877	Ppp2r2b
P56932	Ppp2r2d
P97888	Ppp2r2c
P22071	Hsd3b1
P22072	Hsd3b
Q62878	Hsd3b6
P27364	Hsd3b5
O35048	Hsd3b7
Q91Y80	Sh3bp5
P46953	Haao
P29266	Hibadh
P23571	Mpg
Q62622	Eif4ebp1
Q794F9	Slc3a2
P19327	Htr1a
P28564	Htr1b
P28565	Htr1d
P30940	Htr1f
P14842	Htr2a
P30994	Htr2b
P08909	Htr2c
P35563	Htr3a
Q9JJ16	Htr3b
Q62758	Htr4
P35364	Htr5a
P35365	Htr5b
P31388	Htr6
P32305	Htr7
Q6AYP7	Nt5c3b
P21588	Nt5e
D3Z9R8	Mp68
P85968	Pgd
P85971	Pgls
P27682	Scg5
P53369	Nudt1
Q3T1L0	Aldh16a1
P02764	Orm1
P17475	Serpina1
Q9EPH1	A1bg
Q923K9	A1cf
P14046	A1i3
Q63041	A1m
P06238	A2m
A0A4Z3	A3galt2
Q9JI93	A4galt
P08592	App
P25099	Adora1
P30543	Adora2a
P29276	Adora2b
P28647	Adora3
P63116	Slc7a10
Q9QZH8	Aadac
Q9JMI1	Aacs
Q64602	Aadat
Q9R0Z7	Aagab
P0C1X8	Aak1
P80386	Prkab1
Q9QZH4	Prkab2
P80385	Prkag1
P54645	Prkaa1
Q09137	Prkaa2
Q91ZF7	Aard
Q5XI97	Aarsd1
A2VCW9	Aass
P13221	Got1
Q9QYW0	Aatf
P00507	Got2
Q5XIJ5	Abhd17a
Q6AY17	Abhd17b
Q9ESR9	Abca2
Q8CF82	Abca5
Q7TNJ2	Abca7
E9PU17	Abca17
O70595	Abcb6
Q704E8	Abcb7
Q5RKI8	Abcb8
Q9QYJ4	Abcb9
O70127	Abcb11
Q09429	Abcc8
Q63563	Abcc9
Q9QY44	Abcd2
P16970	Abcd3
Q6MG08	Abcf1
Q66H39	Abcf3
Q80W57	Abcg2
Q99PE7	Abcg5
P58428	Abcg8
Q6AYT7	Abhd12
Q4V7A8	Abhd18
P38483	Apobec1
P60705	Apobec3
Q6AXX9	Apobec4
Q5RK23	Abhd1
Q6QA69	Abhd5
Q5XI64	Abhd6
Q5I0K5	Abhd10
Q5I0C4	Abhd14a
Q6DGG1	Abhd14b
Q6MG55	Abhd16a
Q5XIL6	Abhd16b
Q9QZM5	Abi1
Q6KC51	Ablim2
