id	gene_symbol	complex
YGR032W	GSC2	"1,3-beta-glucan synthase complex (GO)"
YLR342W	FKS1	"1,3-beta-glucan synthase complex (GO)"
YPR165W	RHO1	"1,3-beta-glucan synthase complex (GO)"
YGR240C	PFK1	6-phosphofructokinase complex (GO)
YMR205C	PFK2	6-phosphofructokinase complex (GO)
YBL004W	UTP20	90S preribosome
YBR247C	ENP1	90S preribosome
YCL059C	KRR1	90S preribosome
YCR057C	PWP2	90S preribosome
YDL014W	NOP1	90S preribosome
YDL148C	NOP14	90S preribosome
YDR064W	RPS13	90S preribosome
YDR299W	BFR2	90S preribosome
YDR324C	UTP4	90S preribosome
YDR398W	UTP5	90S preribosome
YDR449C	UTP6	90S preribosome
YEL055C	POL5	90S preribosome
YER082C	UTP7	90S preribosome
YER127W	LCP5	90S preribosome
YGL171W	ROK1	90S preribosome
YGR090W	UTP22	90S preribosome
YGR128C	UTP8	90S preribosome
YGR145W	ENP2	90S preribosome
YHR148W	IMP3	90S preribosome
YHR196W	UTP9	90S preribosome
YJL069C	UTP18	90S preribosome
YJL109C	UTP10	90S preribosome
YJR002W	MPP10	90S preribosome
YJR145C	RPS4A	90S preribosome
YKR060W	UTP30	90S preribosome
YLL011W	SOF1	90S preribosome
YLR003C	CMS1	90S preribosome
YLR129W	DIP2	90S preribosome
YLR186W	EMG1	90S preribosome
YLR197W	NOP56	90S preribosome
YLR222C	UTP13	90S preribosome
YLR409C	UTP21	90S preribosome
YMR093W	UTP15	90S preribosome
YMR128W	ECM16	90S preribosome
YNL075W	IMP4	90S preribosome
YNL132W	KRE33	90S preribosome
YOL010W	RCL1	90S preribosome
YOR078W	BUD21	90S preribosome
YOR096W	RPS7A	90S preribosome
YOR145C	PNO1	90S preribosome
YOR310C	NOP58	90S preribosome
YPL012W	RRP12	90S preribosome
YPL126W	NAN1	90S preribosome
YPL217C	BMS1	90S preribosome
YPL266W	DIM1	90S preribosome
YPR112C	MRD1	90S preribosome
YPR137W	RRP9	90S preribosome
YPR144C	NOC4	90S preribosome
YCR057C	PWP2	90S preribosome (GO)
YGR081C	SLX9	90S preribosome (GO)
YGR103W	NOP7	90S preribosome (GO)
YJL010C	NOP9	90S preribosome (GO)
YCL009C	ILV6	acetolactate synthase complex (GO)
