id	gene_symbol	complex
YLR342W	FKS1	"1,3-beta-glucan synthase complex (Fks1p/Rho1p)"
YPR165W	RHO1	"1,3-beta-glucan synthase complex (Fks1p/Rho1p)"
YGR032W	GSC2	"1,3-beta-glucan synthase complex (Gsc2p/Smk1p)"
YPR054W	SMK1	"1,3-beta-glucan synthase complex (Gsc2p/Smk1p)"
YDL007W	RPT2	19/22S regulator
YDL097C	RPN6	19/22S regulator
YDL147W	RPN5	19/22S regulator
YDR363W-A	SEM1	19/22S regulator
YDR394W	RPT3	19/22S regulator
YDR427W	RPN9	19/22S regulator
YER021W	RPN3	19/22S regulator
YFR004W	RPN11	19/22S regulator
YFR010W	UBP6	19/22S regulator
YFR052W	RPN12	19/22S regulator
YGL048C	RPT6	19/22S regulator
YGR232W	NAS6	19/22S regulator
YHL030W	ECM29	19/22S regulator
YHR027C	RPN1	19/22S regulator
YHR200W	RPN10	19/22S regulator
YIL075C	RPN2	19/22S regulator
YKL145W	RPT1	19/22S regulator
YLR421C	RPN13	19/22S regulator
YOR117W	RPT5	19/22S regulator
YOR259C	RPT4	19/22S regulator
YOR261C	RPN8	19/22S regulator
YPR108W	RPN7	19/22S regulator
YBL041W	PRE7	20S proteasome
YER012W	PRE1	20S proteasome
YER094C	PUP3	20S proteasome
YFR050C	PRE4	20S proteasome
YGL011C	SCL1	20S proteasome
YGR135W	PRE9	20S proteasome
YGR253C	PUP2	20S proteasome
YJL001W	PRE3	20S proteasome
YML092C	PRE8	20S proteasome
YMR314W	PRE5	20S proteasome
YOL038W	PRE6	20S proteasome
YOR157C	PUP1	20S proteasome
YOR362C	PRE10	20S proteasome
YPR103W	PRE2	20S proteasome
YGR240C	PFK1	6-phosphofructokinase complex
YMR205C	PFK2	6-phosphofructokinase complex
YCL009C	ILV6	acetolactate synthase complex
YMR108W	ILV2	acetolactate synthase complex
YBL007C	SLA1	"actin cytoskeleton-regulatory complex, Pan1p/Sla1p/End3p complex"
YIR006C	PAN1	"actin cytoskeleton-regulatory complex, Pan1p/Sla1p/End3p complex"
YNL084C	END3	"actin cytoskeleton-regulatory complex, Pan1p/Sla1p/End3p complex"
YDR176W	NGG1	Ada2p/Gcn5p/Ada3 transcription activator complex
YDR448W	ADA2	Ada2p/Gcn5p/Ada3 transcription activator complex
YGR252W	GCN5	Ada2p/Gcn5p/Ada3 transcription activator complex
YOR023C	AHC1	Ada2p/Gcn5p/Ada3 transcription activator complex
YPL254W	HFI1	Ada2p/Gcn5p/Ada3 transcription activator complex
YJL005W	CYR1	adenylyl cyclase complex
YNL138W	SRV2	adenylyl cyclase complex
YNR046W	TRM112	adoMet-dependent tRNA methyltransferase (Mtase) Complex
YOL124C	TRM11	adoMet-dependent tRNA methyltransferase (Mtase) Complex
YBL035C	POL12	alpha DNA polymerase:primase complex
YIR008C	PRI1	alpha DNA polymerase:primase complex
YKL045W	PRI2	alpha DNA polymerase:primase complex
YNL102W	POL1	alpha DNA polymerase:primase complex
YBR126C	TPS1	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YDR074W	TPS2	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YML100W	TSL1	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YMR261C	TPS3	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YDR245W	MNN10	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YEL036C	ANP1	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YJL183W	MNN11	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YJR075W	HOC1	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YPL050C	MNN9	"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)"
YML115C	VAN1	"alpha-1,6-mannosyltransferase complex(Van1p/Mnn9p)"
YPL050C	MNN9	"alpha-1,6-mannosyltransferase complex(Van1p/Mnn9p)"
YBL084C	CDC27	anaphase-promoting complex
YDL008W	APC11	anaphase-promoting complex
YDR118W	APC4	anaphase-promoting complex
YDR260C	SWM1	anaphase-promoting complex
YFR036W	CDC26	anaphase-promoting complex
YGL003C	CDH1	anaphase-promoting complex
YGL116W	CDC20	anaphase-promoting complex
YGL240W	DOC1	anaphase-promoting complex
YHR166C	CDC23	anaphase-promoting complex
YIR025W	MND2	anaphase-promoting complex
YKL022C	CDC16	anaphase-promoting complex
YLR102C	APC9	anaphase-promoting complex
YLR127C	APC2	anaphase-promoting complex
YNL172W	APC1	anaphase-promoting complex
YOR249C	APC5	anaphase-promoting complex
YER090W	TRP2	anthranilate synthase complex
YKL211C	TRP3	anthranilate synthase complex
YHL019C	APM2	AP-1 adaptor complex
YKL135C	APL2	AP-1 adaptor complex
YLR170C	APS1	AP-1 adaptor complex
YPL259C	APM1	AP-1 adaptor complex
YPR029C	APL4	AP-1 adaptor complex
YBL037W	APL3	AP-2 adaptor complex
YJR005W	APL1	AP-2 adaptor complex
YJR058C	APS2	AP-2 adaptor complex
YOL062C	APM4	AP-2 adaptor complex
YBR288C	APM3	AP-3 adaptor complex
YGR261C	APL6	AP-3 adaptor complex
YJL024C	APS3	AP-3 adaptor complex
YPL195W	APL5	AP-3 adaptor complex
YBR217W	ATG12	Apg12p/Apg5p/Apg16 multimeric complex
YMR159C	ATG16	Apg12p/Apg5p/Apg16 multimeric complex
YPL149W	ATG5	Apg12p/Apg5p/Apg16 multimeric complex
YER069W	"ARG5,6"	"Arg2p/Arg5,6p complex"
YJL071W	ARG2	"Arg2p/Arg5,6p complex"
YDR173C	ARG82	ARGR complex
YML099C	ARG81	ARGR complex
YMR042W	ARG80	ARGR complex
YMR043W	MCM1	ARGR complex
YBR234C	ARC40	Arp2/3 protein complex
YDL029W	ARP2	Arp2/3 protein complex
YIL062C	ARC15	Arp2/3 protein complex
YJR065C	ARP3	Arp2/3 protein complex
YKL013C	ARC19	Arp2/3 protein complex
YLR370C	ARC18	Arp2/3 protein complex
YNR035C	ARC35	Arp2/3 protein complex
YDL113C	ATG20	Atg20p/Snx4p/Snx41p complex
YDR425W	SNX41	Atg20p/Snx4p/Snx41p complex
YJL036W	SNX4	Atg20p/Snx4p/Snx41p complex
YBR156C	SLI15	Aurora B-INCENP protein kinase complex
YPL209C	IPL1	Aurora B-INCENP protein kinase complex
Q0115	BI3	Bi3 ribonucleoprotein complex
YIR021W	MRS1	Bi3 ribonucleoprotein complex
Q0120	BI4	Bi4p/Nam2p complex
YLR382C	NAM2	Bi4p/Nam2p complex
YER133W	GLC7	Bni4p/Glc7p complex
YNL233W	BNI4	Bni4p/Glc7p complex
YDL014W	NOP1	box C/D snoRNP complex
YEL026W	SNU13	box C/D snoRNP complex
YLR197W	SIK1	box C/D snoRNP complex
YOR310C	NOP58	box C/D snoRNP complex
YGR188C	BUB1	Bub1p/Bub3p complex
YOR026W	BUB3	Bub1p/Bub3p complex
YJR053W	BFA1	Bub2p/Bfa1p complex
YMR055C	BUB2	Bub2p/Bfa1p complex
YAR014C	BUD14	Bud14p/Glc7p complex
YER133W	GLC7	Bud14p/Glc7p complex
YGL155W	CDC43	CAAX-protein geranylgeranyltransferase complex
YKL019W	RAM2	CAAX-protein geranylgeranyltransferase complex
YKL190W	CNB1	calcineurin complex
YLR433C	CNA1	calcineurin complex
YML057W	CMP2	calcineurin complex
YIL033C	BCY1	cAMP-dependent protein kinase
YJL164C	TPK1	cAMP-dependent protein kinase
YKL166C	TPK3	cAMP-dependent protein kinase
YPL203W	TPK2	cAMP-dependent protein kinase
YJL088W	ARG3	Car1p/Arg3p complex
YPL111W	CAR1	Car1p/Arg3p complex
