id	gene_symbol	complex
A0JLT2	MED19	TRAP-SMCC mediator complex
A0JLT2	MED19	Mediator complex
A1A4S6	RHG10	Cell-cell junction complex (ARHGAP10-CTNNA1)
A5D8V6	VP37C	ESCRT-I complex
A6H8Y1	BDP1	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex
A7MCY6	TBKB1	Kinase maturation complex 2
A8K8P3	SFI1	CDC5L complex
O00116	ADAS	AGPS-GNPAT complex
O00148	DX39A	Emerin complex 52
O00161	SNP23	SNARE complex (STX2, SNAP23)
O00161	SNP23	SNARE complex (STX4, SNAP23, VAMP1)
O00161	SNP23	SNARE complex (SNAP23, STX1A)
O00161	SNP23	SNARE complex (STX11, VAMP2, SNAP23)
O00161	SNP23	SNARE complex (STX4, SNAP23)
O00161	SNP23	SNARE complex (STX4, VAMP8, VAMP3, SNAP23)
O00161	SNP23	SNARE complex (STX6, SNAP23)
O00161	SNP23	SNARE complex (STX4, SNAP23, VAMP2)
O00189	AP4M1	AP4 adaptor complex
O00203	AP3B1	AP3 adapter complex
O00203	AP3B1	AP3-BLOC1 complex
O00213	APBB1	FE65-TSHZ3-HDAC1 complex
O00213	APBB1	APP-FE65-LRP complex
O00221	IKBE	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex
O00221	IKBE	IKB(epsilon)-RELA-cREL complex
O00221	IKBE	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)
O00255	MEN1	MLL-HCF complex
O00257	CBX4	CtBP complex
O00257	CBX4	Polycomb repressive complex 1 (PRC1, hPRC-H)
O00267	SPT5H	DSIF complex (DRB sensitivity-inducing factor complex)
O00267	SPT5H	RNA pol II containing coactivator complex Tat-SF
O00268	TAF4	MLL1-WDR5 complex
O00268	TAF4	TFIID-beta complex
O00268	TAF4	TFIID complex
O00268	TAF4	TFIID complex, B-cell specific
O00268	TAF4	TFTC complex (TATA-binding protein-free TAF-II-containing complex)
O00303	EIF3F	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)
O00311	CDC7	CDC7-DBF7 complex
O00422	SAP18	SIN3-ING1b complex I
O00422	SAP18	Apoptosis- and splicing-associated protein complex (ASAP-S), SAP18-RNPS1-Acinus-S
O00422	SAP18	SIN3 complex
O00422	SAP18	SIN3-ING1b complex II
O00422	SAP18	SIN3-SAP25 complex
O00422	SAP18	Emerin complex 32
O00422	SAP18	ALL-1 supercomplex
O00429	DNM1L	DLP1-hFIS1 complex
O00443	P3C2A	EGFR-containing signaling complex
O00482	NR5A2	SHP-NR5A2 complex
O00505	IMA4	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)
O00548	DLL1	Gamma-secretase-Delta1 complex
O00548	DLL1	Delta1 homodimer complex
O00566	MPP10	IMP3-IMP4-MPP10 complex
O00571	DDX3X	TNF-alpha/Nf-kappa B signaling complex (RPL6, RPL30, RPS13, CHUK, DDX3X, NFKB2, NFKBIB, REL, IKBKG, NFKB1, MAP3K8, RELB, GLG1, NFKBIA, RELA, TNIP2,  GTF2I)
O00571	DDX3X	Large Drosha complex
O00743	PPP6	TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)
O00750	P3C2B	EGFR-containing signaling complex
O00764	PDXK	DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1
O00764	PDXK	DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1
O14497	ARI1A	LARC complex (LCR-associated remodeling complex)
O14497	ARI1A	BRG1-SIN3A complex
O14497	ARI1A	SIN3-ING1b complex II
