id	gene_symbol	complex
P04062	GLCM	lipofuscin-like lysosomal inclusion bodies
P11021	GRP78	lipofuscin-like lysosomal inclusion bodies
P21281	VATB2	lipofuscin-like lysosomal inclusion bodies
P20160	CAP7	lipofuscin-like lysosomal inclusion bodies
Q13510	ASAH1	lipofuscin-like lysosomal inclusion bodies
P06576	ATPB	lipofuscin-like lysosomal inclusion bodies
P10696	PPBN	lipofuscin-like lysosomal inclusion bodies
Q14108	SCRB2	lipofuscin-like lysosomal inclusion bodies
P05090	APOD	lipofuscin-like lysosomal inclusion bodies
P63261	ACTG	lipofuscin-like lysosomal inclusion bodies
P08842	STS	lipofuscin-like lysosomal inclusion bodies
P05164	PERM	lipofuscin-like lysosomal inclusion bodies
P60709	ACTB	lipofuscin-like lysosomal inclusion bodies
P25705	ATPA	lipofuscin-like lysosomal inclusion bodies
P01023	A2MG	lipofuscin-like lysosomal inclusion bodies
P11511	CP19A	lipofuscin-like lysosomal inclusion bodies
P21397	AOFA	lipofuscin-like lysosomal inclusion bodies
P05108	CP11A	lipofuscin-like lysosomal inclusion bodies
P04406	G3P	lipofuscin-like lysosomal inclusion bodies
P05141	ADT2	lipofuscin-like lysosomal inclusion bodies
Q9NVJ2	ARL8B	lipofuscin-like lysosomal inclusion bodies
Q9Y6Q1	CAN6	lipofuscin-like lysosomal inclusion bodies
P10809	CH60	lipofuscin-like lysosomal inclusion bodies
P08236	BGLR	lipofuscin-like lysosomal inclusion bodies
P16278	BGAL	lipofuscin-like lysosomal inclusion bodies
P38606	VATA	lipofuscin-like lysosomal inclusion bodies
P12532	KCRU	lipofuscin-like lysosomal inclusion bodies
P61421	VA0D1	lipofuscin-like lysosomal inclusion bodies
P21796	VDAC1	lipofuscin-like lysosomal inclusion bodies
P12236	ADT3	lipofuscin-like lysosomal inclusion bodies
P08311	CATG	lipofuscin-like lysosomal inclusion bodies
P24158	PRTN3	lipofuscin-like lysosomal inclusion bodies
P11142	HSP7C	NF-kappa B/I kappa B complexes
Q01201	RELB	NF-kappa B/I kappa B complexes
Q16543	CDC37	NF-kappa B/I kappa B complexes
Q04206	TF65	NF-kappa B/I kappa B complexes
Q3ZCQ8	TIM50	NF-kappa B/I kappa B complexes
Q53FA3	Q53FA3	NF-kappa B/I kappa B complexes
Q9BVA1	TBB2B	NF-kappa B/I kappa B complexes
Q15653	IKBB	NF-kappa B/I kappa B complexes
P63261	ACTG	NF-kappa B/I kappa B complexes
O14920	IKKB	NF-kappa B/I kappa B complexes
P60709	ACTB	NF-kappa B/I kappa B complexes
Q13233	M3K1	NF-kappa B/I kappa B complexes
P38646	GRP75	NF-kappa B/I kappa B complexes
P04350	TBB4A	NF-kappa B/I kappa B complexes
Q00653	NFKB2	NF-kappa B/I kappa B complexes
P07900	HS90A	NF-kappa B/I kappa B complexes
Q9Y6K9	NEMO	NF-kappa B/I kappa B complexes
P62158	CALM	NF-kappa B/I kappa B complexes
Q99759	M3K3	NF-kappa B/I kappa B complexes
P25963	IKBA	NF-kappa B/I kappa B complexes
O15111	IKKA	NF-kappa B/I kappa B complexes
P41279	M3K8	NF-kappa B/I kappa B complexes
Q13616	CUL1	NF-kappa B/I kappa B complexes
Q04864	REL	NF-kappa B/I kappa B complexes
Q13748	TBA3C	NF-kappa B/I kappa B complexes
P08238	HS90B	NF-kappa B/I kappa B complexes
Q13885	TBB2A	NF-kappa B/I kappa B complexes
Q12933	TRAF2	NF-kappa B/I kappa B complexes
P68371	TBB4B	NF-kappa B/I kappa B complexes
P34931	HS71L	NF-kappa B/I kappa B complexes
Q00610	CLH1	NF-kappa B/I kappa B complexes
O43318	M3K7	NF-kappa B/I kappa B complexes
P07437	TBB5	NF-kappa B/I kappa B complexes
Q99558	M3K14	NF-kappa B/I kappa B complexes
P63104	1433Z	NF-kappa B/I kappa B complexes
Q14164	IKKE	NF-kappa B/I kappa B complexes
O60244	MED14	Mediator/ARC(activator-recruited cofactor) complex
Q96HR3	MED30	Mediator/ARC(activator-recruited cofactor) complex
O75586	MED6	Mediator/ARC(activator-recruited cofactor) complex
Q9ULK4	MED23	Mediator/ARC(activator-recruited cofactor) complex
Q9H204	MED28	Mediator/ARC(activator-recruited cofactor) complex
Q6P2C8	MED27	Mediator/ARC(activator-recruited cofactor) complex
